text,risk_label,win_label
All technical documentation must be provided in English and the local language.,medium,1
The client requires a source code escrow agreement for proprietary software.,medium,0
Bidders must demonstrate a turnover of at least 1.5 times the estimated contract value.,medium,0
The equipment supplied must be brand new and free of encumbrances.,medium,1
The vendor is responsible for obtaining all necessary permits and approvals.,medium,1
The contract prohibits the assignment of the contract to a third party without consent.,medium,1
Bidders must provide a detailed breakdown of the total cost of ownership.,medium,1
The project requires the use of specific materials as listed in the technical specifications.,medium,0
The client reserves the right to vary the scope of work by up to 15%.,medium,1
A pre-bid meeting is mandatory and attendance will be recorded.,medium,0
The vendor must provide a warranty for a period of two years from the date of acceptance.,medium,1
Technical queries must be submitted through the official portal within the stipulated timeframe.,medium,1
The proposal must include a plan for knowledge transfer to the client's staff.,medium,1
Bidders must comply with the client's data protection and privacy policy.,medium,1
The client requires monthly progress reports detailing milestones achieved.,medium,1
The contract allows for suspension of work in case of non-payment.,medium,1
Bidders must possess specific security clearances for handling sensitive data.,medium,0
The evaluation will weight technical capability at 60% and financial offer at 40%.,medium,1
The vendor must ensure that all sub-contractors adhere to the prime contract terms.,medium,1
A site inspection is required prior to bid submission to understand ground conditions.,medium,0
The tender documents must be purchased for a non-refundable fee.,medium,1
The contract will be governed by the laws of the jurisdiction where the client operates.,medium,1
Bidders must provide evidence of adequate professional indemnity insurance.,medium,0
The project scope includes training for up to 50 client staff members.,medium,1
The vendor is required to remove all debris and waste materials upon completion.,medium,1
The client requires a biometric access control system for the server room.,medium,0
Bidders must commit to a response time of 4 hours for critical support tickets.,medium,1
The proposal must outline the methodology for quality assurance and control.,medium,1
Any conflict of interest discovered post-award may lead to contract termination.,medium,0
The vendor must provide CVs of the proposed project team members.,medium,1
The client requires the successful bidder to attend a project kickoff meeting within 10 days.,medium,1
Bidders must submit a sample of the deliverable format for evaluation.,medium,0
The contract requires the vendor to maintain confidentiality for five years post-termination.,medium,1
The tender specifies a minimum uptime requirement of 99.5% for hosted services.,medium,0
Bidders must show evidence of financial capability to sustain the project duration.,medium,1
The client requires the use of specific project management software for tracking.,medium,0
The vendor must notify the client of any change in ownership or management structure.,medium,1
The evaluation includes a presentation by shortlisted bidders to the committee.,medium,1
Bidders must adhere to strict ethical guidelines regarding gifts and hospitality.,medium,1
The contract stipulates that 10% of each invoice will be retained until final acceptance.,medium,0
The vendor must provide a detailed health and safety plan for the worksite.,medium,1
Access to the client's premises requires background verification of all personnel.,medium,0
The proposal must define the Service Level Agreement (SLA) parameters clearly.,medium,1
The client requires the vendor to correct any defects at their own expense during the warranty.,medium,1
Bidders must agree to a dispute resolution process involving mediation.,medium,1
The tender requires the use of energy-efficient equipment and practices.,medium,1
The vendor must allow the client to inspect the manufacturing facility if requested.,medium,0
The contract includes a clause for price reduction if volume thresholds are met.,medium,1
Bidders must provide a comprehensive maintenance and support schedule.,medium,1
The client requires the vendor to provide spare parts for a period of 10 years.,medium,0
The proposal must include a detailed risk register with probability and impact analysis.,medium,1
The contract requires the vendor to achieve specific Key Performance Indicators (KPIs).,medium,1
Bidders must submit their proposals in a specific format with signed appendices.,medium,0
The vendor is responsible for the safe disposal of hazardous materials.,medium,1
The client requires an initial pilot phase in one location before full rollout.,medium,1
Bidders must demonstrate compliance with current environmental regulations.,medium,1
The contract allows the client to conduct unannounced inspections of the vendor's facilities.,medium,1
The vendor must provide 24/7 technical support for critical system failures.,high,0
The bidder accepts unlimited liability for any breach of data security.,high,0
A parent company guarantee is required to secure the performance obligations.,high,0
The contract includes a termination for convenience clause with 30 days' notice.,high,0
Bidders must demonstrate a minimum annual turnover of $10 million for the last five years.,high,0
Failure to meet the implementation deadline will result in liquidated damages of 2% per week.,high,0
The vendor is required to provide a 10-year comprehensive warranty on all hardware.,high,0
The client demands exclusive rights to all intellectual property developed during the contract.,high,0
Bidders must possess a top-secret security clearance for the duration of the project.,high,0
The contract subjects the vendor to penalties for failing to meet diversity hiring quotas.,high,0
The proposal must commit to a 99.99% uptime guarantee with severe financial penalties for downtime.,high,0
Bidders must agree to binding arbitration in a foreign jurisdiction for dispute resolution.,high,0
The vendor assumes all risk for loss or damage to client property during the project.,high,0
A bid bond of 5% and a performance bond of 20% are mandatory requirements.,high,0
The contract allows the client to extend the project duration without additional compensation.,high,0
Bidders must have prior experience working specifically with government defense agencies.,high,0
"The vendor is required to maintain an on-site presence 24 hours a day, 7 days a week.",high,0
Intellectual property rights for pre-existing tools used in the project must be transferred to the client.,high,0
The contract includes a strict non-compete clause prohibiting work for competitors for 3 years.,high,0
Bidders must accept payment via a complex deferred financing model tied to future revenues.,high,0
The client requires the vendor to indemnify them against all third-party claims without cap.,high,0
The project timeline requires a fully functional system to be deployed within 30 days.,high,0
Bidders must provide a bank guarantee covering 100% of the advance payment.,high,0
The vendor must submit to a forensic audit of their accounting records upon request.,high,0
The contract allows the client to unilaterally change the scope of work without adjusting the price.,high,0
Bidders must demonstrate a debt-to-equity ratio of less than 0.5.,high,0
The vendor is liable for all consequential damages arising from service interruption.,high,0
The proposal must include a commitment to hire 50% of the workforce from the local community.,high,0
The tender requires the use of a specific proprietary technology owned by the client's partner.,high,0
Bidders must accept strict liability for any environmental contamination caused by the project.,high,0
The contract includes a 'No Claim' clause preventing the vendor from claiming extra costs.,high,0
The vendor must provide a letter of intent from a specific sub-contractor named by the client.,high,0
A penalty of 10% of the contract value applies for any deviation from the specified brand.,high,0
Bidders must agree to a 'pay-when-paid' clause for all sub-contractors.,high,0
The client requires the vendor to waive all rights to claim for delay caused by the client.,high,0
The proposal must describe a solution for achieving zero emissions during the project execution.,high,0
The contract stipulates that the vendor pays for all third-party audits required by regulators.,high,0
Bidders must have a local presence in all 10 regions where the services will be delivered.,high,0
The vendor is required to replace key personnel if the client deems them unsatisfactory.,high,0
The contract includes a termination clause for any negative publicity caused by the vendor.,high,0
Bidders must provide evidence of a dedicated cyber-security operations center.,high,0
The client requires the right to access the vendor's internal communication logs upon request.,high,0
Failure to comply with data residency requirements results in immediate contract termination.,high,0
The vendor must provide an insurance cover of $50 million for public liability.,high,0
Bidders must agree to a fixed price contract with no provision for inflation adjustment.,high,0
The client reserves the right to reject the lowest bid without providing a reason.,high,0
The vendor must guarantee the availability of spare parts for the lifetime of the equipment.,high,0
The contract requires the vendor to notify the client of any data breach within 1 hour.,high,0
Bidders must demonstrate compliance with military-grade encryption standards.,high,0
The vendor assumes financial responsibility for regulatory fines incurred due to project delays.,high,0
The proposal must include a detailed plan for the deportation of illegal workers found on site.,high,0
The contract mandates that the vendor invests in local infrastructure as part of the deal.,high,0
Bidders must accept liability for design errors discovered after project completion.,high,0
The client requires a source code license that allows modification and resale.,high,0
The vendor must pay a penalty for any downtime exceeding 5 minutes per month.,high,0
The tender requires the bidder to fund the initial setup costs without an advance payment.,high,0
The contract includes a clause allowing the client to take over the vendor's assets in case of default.,high,0
Bidders must submit to a vetting process by external intelligence agencies.,high,0
The vendor is responsible for the cost of relocating existing utilities without claim.,high,0
The client demands a 50% retention of payments until the final warranty period expires.,high,0
Bidders must guarantee that no sub-contracting will be permitted without prior written approval.,high,0
The contract requires the vendor to achieve ISO 27001 certification within 3 months of award.,high,0
The vendor must indemnify the client against all claims related to intellectual property infringement.,high,0
Bidders must accept a limitation of liability clause that caps the client's liability at zero.,high,0
The project requires the use of specific materials that are currently in short supply globally.,high,0
The contract requires the vendor to cover the client's legal fees in any dispute regardless of outcome.,high,0
Bidders must agree to a performance evaluation framework where failure results in blacklisting.,high,0
The client requires the vendor to provide a cash deposit equal to three months of service fees.,high,0
The proposal must demonstrate a plan to achieve specific carbon neutrality targets.,high,1
Bidders must accept responsibility for obtaining all necessary environmental permits.,medium,1
The client allows for a variation order process to address unforeseen ground conditions.,medium,1
The vendor must provide a comprehensive handover plan including detailed documentation.,medium,1
A penalty clause applies for failure to meet the required diversity targets in staffing.,high,0
Bidders must have a documented business continuity plan tested within the last year.,medium,0
The contract requires strict adherence to the client's code of conduct and ethics.,medium,1
The vendor is required to provide detailed daily work logs for verification.,medium,1
The client reserves the right to conduct a financial audit of the vendor's project accounts.,medium,1
Bidders must provide a letter of support from their primary banking institution.,medium,0
The proposal must demonstrate how the solution will scale for future expansion.,low,1
The contract includes a clause for termination if the vendor's credit rating drops below BBB.,high,0
Bidders must certify that all provided equipment is free from conflict minerals.,medium,1
The vendor must coordinate activities with other contractors on site to avoid conflicts.,medium,1
The client requires a 4-hour response time for critical security incidents.,high,0
The tender requires the vendor to conduct a comprehensive survey of existing assets.,medium,1
Bidders must provide a warranty for workmanship for a period of 5 years.,high,0
The contract requires the vendor to comply with international human rights standards.,medium,1
The vendor must ensure all personnel wear appropriate PPE at all times.,medium,1
Bidders must demonstrate a capacity to ramp up resources by 50% within two weeks.,high,0
The client requires the vendor to manage all relationships with local authorities.,medium,1
The proposal must include a detailed change management strategy.,medium,1
Bidders must accept liability for any regulatory fines resulting from non-compliance.,high,0
The contract requires the vendor to restore the site to its original condition post-project.,medium,1
The vendor must provide a secure facility for the storage of sensitive documents.,medium,0
The client requires a fixed price for the first 3 years with defined escalation rates.,medium,0
Bidders must possess a specific industry certification relevant to the project scope.,medium,0
The proposal must detail the vendor's approach to managing conflicts of interest.,medium,1
The contract prohibits the use of sub-contractors without prior written consent.,medium,0
The vendor must ensure that all data is stored within the country's borders.,high,0
Bidders must provide evidence of a robust anti-bribery and corruption policy.,medium,1
The client requires the vendor to provide a full-time project manager on site.,high,0
The tender includes a requirement for a post-implementation review report.,low,1
Bidders must agree to a specific service credit mechanism for missed KPIs.,high,0
The vendor must provide a documented disaster recovery procedure.,medium,1
The contract requires the vendor to maintain professional indemnity insurance for 5 years.,high,0
Bidders must provide a detailed asset disposal plan for end-of-life equipment.,medium,1
The client requires the vendor to achieve a customer satisfaction score of 90%.,high,0
The proposal must outline the vendor's methodology for stakeholder management.,low,1
Bidders must certify that they are not debarred from any government procurement.,medium,1
The vendor must provide training materials in multiple languages as specified.,medium,0
The contract requires the vendor to absorb the cost of regulatory changes during the term.,high,0
The client requires a specific brand of hardware to be used for compatibility.,high,0
Bidders must provide a detailed curriculum vitae for the proposed project director.,medium,1
The proposal must include a plan for the transfer of knowledge to the client's team.,medium,1
The vendor must guarantee the performance of the system for a period of 5 years.,high,0
Bidders must accept responsibility for the accuracy of the data migration.,medium,0
The contract allows the client to terminate for any breach of confidentiality.,high,0
The vendor must provide a detailed security plan approved by a third-party auditor.,high,0
Bidders must have a minimum of 500 employees in the relevant domain.,high,0
The client requires the vendor to use a specific project management methodology.,medium,0
The proposal must include a detailed breakdown of all third-party costs.,medium,1
Bidders must accept a limitation of liability clause that caps liability at contract value.,medium,1
The vendor must provide a comprehensive configuration management plan.,medium,1
The contract requires the vendor to support the client during external audits.,medium,1
Bidders must provide references from at least two clients of similar size and industry.,medium,0
The client requires the vendor to achieve a specific energy efficiency rating.,medium,0
The proposal must describe the vendor's approach to innovation and continuous improvement.,low,1
The vendor must provide a detailed plan for the decommissioning of old systems.,medium,1
Bidders must accept that the client owns all data generated by the system.,medium,1
The contract requires the vendor to ensure all staff complete safety induction.,medium,1
The client requires the vendor to cover travel and accommodation costs for on-site work.,high,0
Bidders must provide a detailed financial model supporting their pricing proposal.,medium,1
The proposal must identify all proposed sub-contractors and their scope of work.,medium,1
The vendor must agree to a background check for all personnel accessing the data center.,high,0
Bidders must accept a clause allowing the client to renew the contract for two additional years.,low,1
The contract requires the vendor to provide a monthly invoice with detailed supporting documents.,medium,1
The vendor must provide a detailed testing strategy and test cases.,medium,1
Bidders must guarantee that the solution will support a specific number of concurrent users.,high,0
The client requires the vendor to maintain a detailed risk register throughout the project.,medium,1
The proposal must include a plan for managing the transition of staff.,medium,1
Bidders must accept responsibility for the disposal of hazardous waste.,high,0
The contract requires the vendor to achieve a specific rate of recycling for waste.,medium,1
The vendor must provide a detailed plan for user acceptance testing.,medium,1
Bidders must possess a clean safety record for the past three years.,medium,0
The client requires the vendor to use renewable energy sources for the project.,high,0
The proposal must outline the vendor's strategy for managing supplier risk.,medium,1
Bidders must agree to a strict change control process for scope modifications.,medium,1
The vendor must provide a dedicated account manager for the contract duration.,medium,1
The contract requires the vendor to comply with the client's IT security policy.,high,0
Bidders must provide a detailed plan for the integration of legacy data.,medium,1
The client requires the vendor to ensure data privacy compliance across all regions.,high,0
The proposal must include a clause for liquidated damages in case of data breach.,high,0
Bidders must demonstrate the ability to provide support during non-business hours.,medium,0
The vendor must provide a detailed capacity plan for the infrastructure.,medium,1
The contract requires the vendor to maintain a service desk ticketing system.,medium,1
Bidders must accept a clause allowing the client to audit the vendor's sub-contractors.,high,0
The client requires the vendor to provide a detailed plan for the rollback of changes.,medium,1
The proposal must describe the vendor's approach to sustainability.,low,1
Bidders must guarantee that the solution is free from viruses and malware.,medium,1
The vendor must provide a detailed plan for the backup and recovery of data.,medium,1
The contract requires the vendor to achieve specific milestones within defined timeframes.,high,0
Bidders must accept responsibility for the performance of all sub-contractors.,medium,1
The client requires the vendor to provide a detailed asset inventory annually.,medium,1
The proposal must include a plan for the management of project documentation.,low,1
Bidders must agree to a clause protecting the client's intellectual property.,medium,1
The vendor must provide a detailed plan for the management of service requests.,medium,1
The contract requires the vendor to achieve a specific level of user adoption.,high,0
Bidders must accept a clause allowing the client to suspend services for non-payment.,medium,1
The client requires the vendor to provide a detailed plan for the management of incidents.,medium,1
The proposal must outline the vendor's approach to quality management.,medium,1
Bidders must guarantee the availability of the system during peak hours.,high,0
The vendor must provide a detailed plan for the management of problems.,medium,1
The contract requires the vendor to achieve specific service levels for response time.,high,0
Bidders must accept responsibility for the correction of all defects.,medium,1
The client requires the vendor to provide a detailed plan for the management of changes.,medium,1
The proposal must include a plan for the management of releases.,medium,1
Bidders must agree to a clause allowing the client to terminate for convenience.,high,0
The vendor must provide a detailed plan for the management of configurations.,medium,1
The contract requires the vendor to achieve specific service levels for resolution time.,high,0
Bidders must accept responsibility for the training of the client's staff.,medium,1
The client requires the vendor to provide a detailed plan for the management of knowledge.,medium,1
The proposal must outline the vendor's approach to communication management.,low,1
Bidders must guarantee the interoperability of the solution with existing systems.,high,0
The vendor must provide a detailed plan for the management of security.,high,0
The contract requires the vendor to achieve specific service levels for availability.,high,0
Bidders must accept responsibility for the maintenance of the solution.,medium,1
The client requires the vendor to provide a detailed plan for the management of performance.,medium,1
The proposal must include a plan for the management of capacity.,medium,1
Bidders must agree to a clause allowing the client to audit the vendor's performance.,medium,1
The vendor must provide a detailed plan for the management of continuity.,medium,1
The contract requires the vendor to achieve specific service levels for customer satisfaction.,high,0
Bidders must accept responsibility for the reporting of project status.,medium,1
The client requires the vendor to provide a detailed plan for the management of resources.,medium,1
The proposal must outline the vendor's approach to cost management.,low,1
Bidders must guarantee the scalability of the solution for future growth.,medium,1
The vendor must provide a detailed plan for the management of risks.,medium,1
The contract requires the vendor to achieve specific service levels for security.,high,0
Bidders must accept responsibility for the management of the project schedule.,medium,1
The client requires the vendor to provide a detailed plan for the management of scope.,medium,1
The proposal must include a plan for the management of stakeholders.,low,1
Bidders must agree to a clause allowing the client to review the vendor's personnel.,medium,0
The vendor must provide a detailed plan for the management of quality.,medium,1
The contract requires the vendor to achieve specific service levels for reporting.,medium,1
Bidders must accept responsibility for the coordination of project activities.,medium,1
The client requires the vendor to provide a detailed plan for the management of integration.,medium,1
The proposal must outline the vendor's approach to time management.,low,1
Bidders must guarantee the reliability of the solution for the contract duration.,medium,1
The vendor must provide a detailed plan for the management of procurement.,medium,1
The contract requires the vendor to achieve specific service levels for compliance.,high,0
Bidders must accept responsibility for the management of project issues.,medium,1
The client requires the vendor to provide a detailed plan for the management of communication.,medium,1
The proposal must include a plan for the management of changes.,medium,1
Bidders must agree to a clause allowing the client to approve all key personnel.,high,0
The vendor must provide a detailed plan for the management of testing.,medium,1
The contract requires the vendor to achieve specific service levels for efficiency.,high,0
Bidders must accept responsibility for the management of project assumptions.,medium,1
The client requires the vendor to provide a detailed plan for the management of constraints.,medium,1
The proposal must outline the vendor's approach to scope management.,low,1
Bidders must guarantee the maintainability of the solution for the contract duration.,medium,1
The vendor must provide a detailed plan for the management of deliverables.,medium,1
The contract requires the vendor to achieve specific service levels for effectiveness.,high,0
Bidders must accept responsibility for the management of project dependencies.,medium,1
The client requires the vendor to provide a detailed plan for the management of lessons learned.,low,1
The proposal must include a plan for the management of project closeout.,low,1
Bidders must agree to a clause allowing the client to inspect the vendor's facilities.,medium,1
The vendor must provide a detailed plan for the management of project archives.,low,1
The contract requires the vendor to achieve specific service levels for innovation.,medium,1
Bidders must accept responsibility for the management of project changes.,medium,1
The client requires the vendor to provide a detailed plan for the management of project risks.,medium,1
The proposal must outline the vendor's approach to integration management.,low,1
Bidders must guarantee the portability of the solution to other platforms.,medium,0
The vendor must provide a detailed plan for the management of project quality.,medium,1
The contract requires the vendor to achieve specific service levels for sustainability.,medium,1
Bidders must accept responsibility for the management of project scope.,medium,1
The client requires the vendor to provide a detailed plan for the management of project time.,medium,1
The proposal must include a plan for the management of project cost.,low,1
Bidders must agree to a clause allowing the client to reject non-conforming deliverables.,medium,1
The vendor must provide a detailed plan for the management of project resources.,medium,1
The contract requires the vendor to achieve specific service levels for responsiveness.,high,0
Bidders must accept responsibility for the management of project communications.,medium,1
The client requires the vendor to provide a detailed plan for the management of project stakeholders.,low,1
The proposal must outline the vendor's approach to procurement management.,low,1
Bidders must guarantee the usability of the solution for the target audience.,medium,1
The vendor must provide a detailed plan for the management of project procurement.,medium,1
The contract requires the vendor to achieve specific service levels for accuracy.,high,0
Bidders must accept responsibility for the management of project integration.,medium,1
The client requires the vendor to provide a detailed plan for the management of project issues.,medium,1
The proposal must include a plan for the management of project assumptions.,low,1
Bidders must agree to a clause allowing the client to require the removal of personnel.,high,0
The vendor must provide a detailed plan for the management of project constraints.,medium,1
The contract requires the vendor to achieve specific service levels for reliability.,high,0
Bidders must accept responsibility for the management of project lessons learned.,low,1
The client requires the vendor to provide a detailed plan for the management of project closeout.,low,1
The proposal must outline the vendor's approach to risk management.,medium,1
Bidders must guarantee the accessibility of the solution for users with disabilities.,high,0
The contract requires the vendor to achieve specific service levels for timeliness.,high,0
The proposal must include a plan for the management of project quality.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's financial stability.,medium,0
The vendor must provide a detailed plan for the management of project time.,medium,1
The contract requires the vendor to achieve specific service levels for completeness.,high,0
Bidders must accept responsibility for the management of project cost.,medium,1
The client requires the vendor to provide a detailed plan for the management of project resources.,medium,1
The proposal must outline the vendor's approach to stakeholder management.,low,1
Bidders must guarantee the functionality of the solution as per the requirements.,medium,1
The vendor must provide a detailed plan for the management of project communications.,medium,1
The contract requires the vendor to achieve specific service levels for professionalism.,medium,1
Bidders must accept responsibility for the management of project stakeholders.,medium,1
The client requires the vendor to provide a detailed plan for the management of project procurement.,medium,1
The proposal must include a plan for the management of project integration.,low,1
Bidders must agree to a clause allowing the client to modify the project scope.,high,0
The vendor must provide a detailed plan for the management of project issues.,medium,1
The contract requires the vendor to achieve specific service levels for documentation.,high,0
The client requires the vendor to provide a detailed plan for the management of project constraints.,medium,1
The proposal must outline the vendor's approach to issue management.,low,1
Bidders must guarantee the performance of the solution under load.,high,0
The vendor must provide a detailed plan for the management of project lessons learned.,low,1
The contract requires the vendor to achieve specific service levels for communication.,high,0
Bidders must accept responsibility for the management of project closeout.,low,1
The client requires the vendor to provide a detailed plan for the management of project archives.,low,1
The proposal must include a plan for the management of project changes.,low,1
Bidders must agree to a clause allowing the client to terminate for breach of contract.,high,0
The vendor must provide a detailed plan for the management of project risks.,medium,1
The contract requires the vendor to achieve specific service levels for reporting accuracy.,high,0
Bidders must accept responsibility for the management of project quality.,medium,1
The proposal must outline the vendor's approach to change management.,low,1
Bidders must guarantee the stability of the solution for the contract duration.,medium,1
The vendor must provide a detailed plan for the management of project cost.,medium,1
The contract requires the vendor to achieve specific service levels for issue resolution.,high,0
Bidders must accept responsibility for the management of project resources.,medium,1
The client requires the vendor to provide a detailed plan for the management of project communications.,medium,1
The proposal must include a plan for the management of project stakeholders.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's security practices.,high,0
The contract requires the vendor to achieve specific service levels for risk mitigation.,high,0
The proposal must outline the vendor's approach to quality assurance.,medium,1
Bidders must guarantee the security of the solution against cyber threats.,high,0
The vendor must provide a detailed plan for the management of project assumptions.,low,1
The contract requires the vendor to achieve specific service levels for cost control.,high,0
Bidders must accept responsibility for the management of project constraints.,medium,1
The client requires the vendor to provide a detailed plan for the management of project lessons learned.,low,1
Bidders must agree to a clause allowing the client to require the replacement of personnel.,high,0
The contract requires the vendor to achieve specific service levels for resource management.,high,0
The proposal must outline the vendor's approach to project governance.,low,1
Bidders must guarantee the availability of the solution 24/7/365.,high,0
The contract requires the vendor to achieve specific service levels for stakeholder satisfaction.,high,0
Bidders must accept responsibility for the management of project time.,medium,1
The client requires the vendor to provide a detailed plan for the management of project cost.,medium,1
The proposal must include a plan for the management of project resources.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's compliance.,high,0
The contract requires the vendor to achieve specific service levels for procurement efficiency.,high,0
The proposal must outline the vendor's approach to communication planning.,low,1
Bidders must guarantee the integrity of the solution data.,high,0
The vendor must provide a detailed plan for the management of project integration.,medium,1
The contract requires the vendor to achieve specific service levels for integration testing.,high,0
The client requires the vendor to provide a detailed plan for the management of project assumptions.,low,1
The proposal must include a plan for the management of project constraints.,low,1
Bidders must agree to a clause allowing the client to modify the project timeline.,high,0
The contract requires the vendor to achieve specific service levels for user training.,high,0
The proposal must outline the vendor's approach to resource allocation.,low,1
Bidders must guarantee the confidentiality of the solution data.,high,0
The vendor must provide a detailed plan for the management of project changes.,medium,1
The contract requires the vendor to achieve specific service levels for data backup.,high,0
Bidders must accept responsibility for the management of project risks.,medium,1
The client requires the vendor to provide a detailed plan for the management of project quality.,medium,1
The proposal must include a plan for the management of project time.,low,1
Bidders must agree to a clause allowing the client to audit the vendor's performance metrics.,high,0
The contract requires the vendor to achieve specific service levels for disaster recovery.,high,0
The proposal must outline the vendor's approach to cost estimation.,low,1
Bidders must guarantee the availability of support resources.,medium,1
The vendor must provide a detailed plan for the management of project stakeholders.,medium,1
The contract requires the vendor to achieve specific service levels for security patches.,high,0
Bidders must accept responsibility for the management of project procurement.,medium,1
The client requires the vendor to provide a detailed plan for the management of project integration.,medium,1
The proposal must include a plan for the management of project issues.,low,1
Bidders must agree to a clause allowing the client to reject the deliverables.,high,0
The contract requires the vendor to achieve specific service levels for system uptime.,high,0
The proposal must outline the vendor's approach to scheduling.,low,1
Bidders must guarantee the quality of the deliverables.,medium,1
The vendor must provide a detailed plan for the management of project closeout.,low,1
The contract requires the vendor to achieve specific service levels for incident response.,high,0
Bidders must accept responsibility for the management of project archives.,low,1
The client requires the vendor to provide a detailed plan for the management of project changes.,medium,1
The proposal must include a plan for the management of project risks.,low,1
Bidders must agree to a clause allowing the client to require additional resources.,high,0
The contract requires the vendor to achieve specific service levels for defect resolution.,high,0
The proposal must outline the vendor's approach to risk assessment.,low,1
Bidders must guarantee the compliance of the solution with regulations.,high,0
The contract requires the vendor to achieve specific service levels for project governance.,high,0
